2554, 4101.42, 334.20, 0.04
3554, 4097.39, 333.80, 0.42
4554, 4101.37, 333.50, 0.76
5554, 4101.32, 333.60, 1.14
6554, 4101.31, 333.40, 1.52
7554, 4101.31, 333.10, 1.90
8554, 4101.30, 332.90, 2.28
9554, 4101.29, 333.00, 2.66
10554, 4101.26, 332.90, 3.04
11554, 4101.26, 332.70, 3.42
12554, 4101.25, 332.60, 3.80
13554, 4101.25, 332.50, 4.17
14554, 4101.24, 332.40, 4.55
15554, 4101.24, 332.20, 4.93
16555, 4101.24, 332.40, 5.31
17555, 4101.22, 332.20, 5.69
18555, 4101.22, 332.20, 6.07
19555, 4101.21, 332.40, 6.45
20555, 4097.23, 332.20, 6.82
21555, 4097.21, 332.00, 7.20
22555, 4101.22, 332.10, 7.58
23555, 4101.21, 332.10, 7.96
24555, 4101.21, 332.10, 8.34
25555, 4101.20, 332.00, 8.72
26555, 4101.20, 331.90, 9.09
27555, 4101.21, 332.20, 9.47
28555, 4101.20, 332.00, 9.85
29555, 4101.18, 331.90, 10.23
30555, 4101.23, 332.10, 10.61
31555, 4101.19, 331.80, 10.99
32555, 4101.18, 332.00, 11.36
33555, 4101.18, 331.90, 11.74
34555, 4101.17, 331.70, 12.12
35555, 4101.19, 331.90, 12.50
36555, 4101.19, 331.90, 12.88
37555, 4105.17, 331.80, 13.25
38555, 4101.17, 331.70, 13.63
39555, 4101.19, 332.00, 14.01
40555, 4101.17, 332.10, 14.39
41555, 4101.17, 331.80, 14.77
42555, 4101.18, 331.70, 15.14
43555, 4101.20, 331.80, 15.52
44555, 4101.17, 331.80, 15.90
45555, 4101.16, 331.90, 16.28
46555, 4101.17, 331.70, 16.66
47555, 4101.18, 331.70, 17.03
48555, 4101.18, 331.90, 17.41
49555, 4105.19, 331.70, 17.79
50555, 4101.19, 332.10, 18.17
51555, 4105.18, 331.90, 18.55
52555, 4101.18, 331.80, 18.92
53555, 4101.18, 331.60, 19.30
54555, 4101.19, 332.00, 19.68
55555, 4101.18, 331.90, 20.06
56555, 4105.19, 331.90, 20.44
57555, 4101.20, 331.60, 20.82
58555, 4101.18, 331.90, 21.19
59555, 4101.19, 331.80, 21.57
60555, 4101.17, 331.90, 21.95
61555, 4105.17, 331.70, 22.33
62555, 4101.18, 331.90, 22.71
63555, 4101.18, 332.00, 23.08
64555, 4101.16, 331.90, 23.46
65555, 4105.19, 331.70, 23.84
66555, 4105.18, 331.90, 24.22
67555, 4101.16, 332.00, 24.60
68555, 4105.18, 331.80, 24.98
69555, 4101.19, 331.90, 25.35
70555, 4101.16, 331.70, 25.73
71555, 4105.18, 331.80, 26.11
72555, 4105.18, 331.60, 26.49
73555, 4105.21, 331.90, 26.87
74555, 4101.18, 332.00, 27.24
75555, 4105.17, 331.50, 27.62
76555, 4101.17, 331.90, 28.00
77555, 4105.18, 331.90, 28.38
78555, 4105.19, 331.80, 28.76
79555, 4101.19, 332.00, 29.14
80555, 4101.17, 331.90, 29.51
81555, 4101.18, 331.70, 29.89
82555, 4101.17, 331.90, 30.27
83555, 4101.19, 332.00, 30.65
84555, 4105.18, 331.80, 31.03
85555, 4105.18, 331.80, 31.40
86555, 4101.19, 331.50, 31.78
87555, 4105.18, 331.70, 32.16
88555, 4105.20, 331.90, 32.54
89555, 4101.17, 331.80, 32.92
90555, 4101.19, 332.00, 33.30
91555, 4101.17, 331.70, 33.67
92555, 4101.16, 331.70, 34.05
93555, 4101.16, 331.80, 34.43
94555, 4105.18, 331.60, 34.81
